ID,Name,Description,Media_Type,Download_URL,Language_ID,size
53ca10e37366f77b0207f1867dd4c057,005205a6-dd3e-4c4f-9f63-2acbcebd36bf.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-D9F2-F903-F8FE-0/005205a6_dd3e_4c4f_9f63_2acbcebd36bf.wav,xed,566280
fd84945e13219a0032bdbafd02776ba5,0077c517-96ad-4803-ae0d-06ef820d42e6.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-A97C-52CF-3CDD-0/0077c517_96ad_4803_ae0d_06ef820d42e6.wav,xed,426256
9d207c8d535fc8c10b600178b5fa51cb,009ecffb-f9d6-40f3-8ef8-d63f89baabbc.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-5975-D926-DC6F-0/009ecffb_f9d6_40f3_8ef8_d63f89baabbc.wav,xed,2324720
d6f0736f0ce250b5ce2a33faca2bb4ec,00b45cfc-d6be-4a5d-b2bf-94fb9448bd0a.JPG,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-36CA-1D3F-E9DB-0/00b45cfc_d6be_4a5d_b2bf_94fb9448bd0a.JPG,xed,1140694
787028cc81dbe048fc5fcb87212e7bbd,00b811cf-d377-437c-9226-8482e469a818.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-64F0-5BAC-2D01-0/00b811cf_d377_437c_9226_8482e469a818.wav,xed,592776
5ca0a9200ec6fcf741dc0bd3cc1bc75b,0102b998-cea9-4a9c-850e-79351ee902ab.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-4DE0-C967-92A2-0/0102b998_cea9_4a9c_850e_79351ee902ab.wav,xed,1617900
c6a6b2ee225f82385e8b3b565a552243,01ab8e8a-fab8-4bcf-8a76-cddff7448e9d.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-C0A2-40DB-228D-0/01ab8e8a_fab8_4bcf_8a76_cddff7448e9d.wav,xed,298092
79e1a457dc85f3c5f2b7c12efde65f4e,01cdb294-fe7d-4bd5-966a-e665a88087c5.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-2C6C-F312-37D8-0/01cdb294_fe7d_4bd5_966a_e665a88087c5.wav,xed,685544
c84fd14d073063bc0db24f48d79c9dc2,020f3236-dad8-41db-95ce-43255c8b1f4d.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-F293-2432-E747-0/020f3236_dad8_41db_95ce_43255c8b1f4d.wav,xed,756488
ed515b7ef3721995e152056588a9ce27,0211d788-18c7-4e85-87ee-524f63afae28.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-1679-A5C8-5ECC-0/0211d788_18c7_4e85_87ee_524f63afae28.wav,xed,718288
c8520e870eac862b77c88a3a41ca5f65,02892f9e-ce38-48dd-a322-1a16ef545bd8.wav,,audio/x-wav,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0C65-E35E-2050-0/02892f9e_ce38_48dd_a322_1a16ef545bd8.wav,xed,588580
