ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Media_IDs,comment,comment_french
LX000077,xed,drék,adj,,6681dd8547cbf8d40b871fb78285f7c7,,
LX000078,xed,drákú,vn,,83ea11dcf5c47da0cd70af3808bf63f3,,
LX000079,xed,drám,n,,f4501e17e40757ec7dfe2b293db56c83,,
LX000080,xed,drìzí’w,n,,4e33f4433adc83392709a47c73ce99a1,,
dukwa,xed,dukwa,np,,,,
LX000081,xed,dvù,n,,6a44954ca085d2f7e1cf9566d7f37f55,,
LX000082,xed,dvà,v unsp,,,,
LX000083,xed,dvá,adj,,fc5a506f37803a5cdd303cd5e4e30faa,,
LX000084,xed,ɗvú,n,,,,
LX000085,xed,ɗvá,v,,,,
LX000086,xed,ɗwàk,n,,,,
LX000087,xed,ɗyákú,vn,,,,
dzemere,xed,dzemere,np,,,,
LX000088,xed,dzə́r,n,,,,
LX000089,xed,dzə̀rkú,vn,,,,
LX000090,xed,dzghə́ŋ,n,,,,
LX000091,xed,dzghà,v,,,,
LX000092,xed,dzghù,vn,,,,
LX000093,xed,dzgú,vn,,,,
LX000094,xed,dzrə̀kú,vn,,,,
LX000095,xed,dzrà,v.intr,,,,
LX000096,xed,dzrù,n,,,,
LX000097,xed,dzràkú,vn,,,,
dzugw-,xed,dzugw-,v,,,,
LX000098,xed,dzugú,vn,,,,
LX000099,xed,dzvú,n,,,,
LX000100,xed,dzwíɗà,v,,,,
LX000101,xed,dzà,v.tr,,,when a person is the object the verb takes source extension 'u',"quand l’objet du verbe est une personne, le verbe prend une extension de provenance 'u'"
LX000102,xed,dzà,v.tr,,53ca10e37366f77b0207f1867dd4c057,see also 'jà',
LX000103,xed,dzáɓá,n,,,,
LX000104,xed,dzáɓà,v.tr,,,"these defenses are never physical, have no material form, the person who has such a defense is believed to be immune to attacks by knife, axe, etc.","Cette protection n’est jamais de nature matérielle, la personne qui en est dotée est réputée à l’abri des attaques à l’arme blanche"
LX000105,xed,dzáɓà tá skwì,n,,,,
LX000106,xed,dzàɓátà,v,,,,
LX000107,xed,dzìdzríŋ,n,,,,
LX000108,xed,dzìdzí,n,,,,
LX000109,xed,dzà-dzà,v,,,,
LX000110,xed,dzìdzí mádzák,n,,,,
LX000111,xed,dzìɗíkw,n,,,,
LX000112,xed,dzàftà,v,,,,
LX000113,xed,dzághà,n,,,,
LX000114,xed,dzùgví,n,,,,
LX000115,xed,dzàgwlàmà,n,,,,
LX000116,xed,dzègwí,n,,,,
LX000117,xed,dzàgwáy,v.tr,,,,
LX000118,xed,dzúgà,n,,,,
LX000119,xed,dzà-gá-f-dzà,v.tr,,,,
LX000120,xed,dzúl,n,,,,
LX000121,xed,dzúlá,n,,,,
LX000122,xed,dzàlà,n,,,,
LX000123,xed,dzàmdzà,v,,,,
LX000124,xed,dzà-m-dzà,v,,,,
LX000125,xed,dzémkày’,n,,,,
LX000126,xed,dzúmnà,n,,,,
LX000127,xed,dzúmá,n,,,,
LX000128,xed,dzèmèrè,np,,,,
LX000129,xed,dzàŋ,n,,,,
LX000130,xed,dzíndàr,n,,,,
LX000131,xed,dzéní,n,,,,
LX000132,xed,dzáŋá,n,,,,
LX000133,xed,dzànághádzà,v,,,,
LX000134,xed,dzà-ná-ghá-dzà,v,,,,
LX000135,xed,dzǝ̀vú,n,,,,
LX000136,xed,dzáwá,v,,,,
LX000137,xed,dzáwá-dzáwá,v,,,,
LX000138,xed,dzáw-áy,v,,,,
LX000139,xed,dzáw’á,n,,,,
LX000140,xed,dzàxú,vn,,,,
LX000141,xed,dzàxá,v.tr,,,,
LX000142,xed,dzàxáŋàl,n,,,,
LX000143,xed,dz-ày,v.tr,,d523673e9c9a3f62c865c1f5762a0081,,
LX000144,xed,dzàzlày,n,,,,
LX000145,xed,dzà’á,n,,,,
LX000146,xed,dzà’á,other,,,,
LX000147,xed,dzà’á,v.intr,,,,
LX000148,xed,dzà’á lmú,v,,,,
LX000149,xed,dzà’á mìstá ní,v,,,,
LX000150,xed,dà,v.intr/tr,,,,
LX000151,xed,dá,n,,,,
LX000152,xed,dà,prep,,,,
LX000153,xed,dá,gram,,,,
LX000154,xed,dà,prep,,,to; from; used with inherently non-locative complements,de; à; s’emploie seulement avec un complément intrinsèquement non locatif
LX000155,xed,dá,prep,,,to; from; used with inherently locative complements,à; de; employée avec les compléments intrinsèquement locatifs
LX000156,xed,dá,prep,,,,
LX000157,xed,dé,adv,,,,
LX000158,xed,-ɗá,pron,,,,
LX000159,xed,dì stá,prep,,7cc20ee3c904e48ffa0ef4e6a87d7146,,
LX000160,xed,díɓ tghà,n,,fdc7df7e49a9454795bf6525cdcde679,,
LX000161,xed,dàbbrà,n,,ddd2bacd029a32c04a645850891a2d33,,
LX000162,xed,dàɓí,n,,15243c4225df7804dd46b35b46e926b2,,
LX000163,xed,d-ù-dà,v,,9d207c8d535fc8c10b600178b5fa51cb,,
LX000164,xed,dàdá,n,,09f72be6d06c29f7d5495abf0fc410b6,,
LX000165,xed,dì-dà,prep,,dbdf93f96d0999327521930a78a48d19,,
LX000166,xed,dà-dà,v,,,,
LX000167,xed,dǝ́ɗà,v,,215b80e1d210a730e00d9ca4b345da15,,
LX000168,xed,dàɗúwì,n,,e9ddfc0b3eaf3d1030571265f7b043ba,,
LX000169,xed,ɗàfá,n,,,,
LX000170,xed,ɗífà,v unsp,,,,
LX000171,xed,ɗífá,np,,,,
LX000172,xed,ɗàfá lkùvák,n,,,,
LX000173,xed,ɗàfá vàɡhú,n,,,,
LX000174,xed,ɗàfá vàɡhú,n,,,,
LX000175,xed,ɗífá-kù,vn,,,,
LX000176,xed,dèghwdéghw,n,,94e8730de736e58bd3a99888bca36964,,
LX000177,xed,dúghwrúk,n,,14f84a3d1d4ec3a2ee60431f28b79a24,,
LX000178,xed,dòghwvízìk,n,,,,
LX000179,xed,dàghwzàlà,n,,18dad761614c64ebd81e68302ca16ad7,,
LX000180,xed,dùghwzùlà kúkù,n,,4fa40002cb236c0689c5b8c75d2d0658,,
LX000181,xed,ɗùghwánà,n,,,,
LX000182,xed,ɗùghwánà,vn,,,,
LX000183,xed,ɗùghwáná wà,v,,,,
